,Brazil.cl,Brazil.servers,China.cl,China.servers,India.cl,India.servers,Japan.cl,Japan.servers,USA.cl,USA.servers,avg.sess.time,local.req,range,tot.cl,tot.cost,tot.servers
00:20:01,1116,2,653,1,698,1,1883,1,7286,1,18.603268378084167,40,0,11636,1.3664,6
00:40:00,1199,2,615,1,699,1,1928,1,7289,1,18.68828649494374,40,1,11730,1.3664,6
01:00:01,1128,2,648,1,702,1,1900,1,7712,1,18.38937638563456,39,2,12090,1.3664,6
01:20:00,687,2,13109,8,431,1,1845,1,2257,2,8.49699887583623,56,3,18329,3.1999999999999997,14
01:40:00,690,2,12723,8,424,1,1805,1,2300,2,1.5749372117646907,67,4,17942,3.1999999999999997,14
02:00:00,713,2,12826,8,409,1,1813,1,2202,2,1.5844816776950865,74,5,17963,3.1999999999999997,14
02:20:00,230,2,12369,8,448,1,2315,1,1394,2,1.5823621189735808,78,6,16756,3.1999999999999997,14
02:40:00,220,2,12835,8,420,1,2144,1,1358,2,1.5977246206352802,81,7,16977,3.1999999999999997,14
03:00:01,221,2,12748,8,444,1,2320,1,1310,2,1.583042459270707,83,8,17043,3.1999999999999997,14
03:20:00,222,2,15352,8,425,1,3116,1,432,2,1.6298744074468265,85,9,19547,3.1999999999999997,14
03:40:00,229,2,15205,8,412,1,3072,1,452,2,1.628988330853365,87,10,19370,3.1999999999999997,14
04:00:00,228,2,14207,8,454,1,3084,1,433,2,1.6315044316150393,88,11,18406,3.1999999999999997,14
04:20:00,230,2,21186,8,8854,3,3193,1,441,2,9.21165586525807,86,12,33904,3.5584,16
04:40:00,226,2,20994,8,8996,3,3284,1,429,2,9.271614034224939,86,13,33929,3.5584,16
05:00:00,236,2,22935,8,9520,5,3482,1,441,2,6.403255825423047,86,14,36614,3.9168,18
05:20:00,181,2,23416,8,8743,5,3217,1,464,2,1.69884116756982,88,15,36021,3.9168,18
05:40:00,179,2,23172,8,8722,5,2961,1,447,2,1.6864750431741888,89,16,35481,3.9168,18
06:00:00,191,2,22990,8,8803,5,3125,1,477,2,1.6942892059986607,90,17,35586,3.9168,18
06:20:01,190,2,21477,8,10637,5,2814,1,365,2,1.6828661356473098,90,18,35483,3.9168,18
06:40:00,186,2,22268,8,10224,5,2869,1,368,2,1.687901917804089,91,19,35915,3.9168,18
07:00:00,180,2,21519,8,10179,5,2915,1,368,2,1.6861530078496814,92,20,35161,3.9168,18
07:20:01,178,2,20485,8,15074,5,3749,1,344,2,1.7536099308810977,92,21,39830,3.9168,18
07:40:00,183,2,20063,8,14796,5,3814,1,376,2,3.4710459506009053,92,22,39232,3.9168,18
08:00:01,183,2,20504,8,14483,5,3753,1,376,2,3.446932108342499,92,23,39299,3.9168,18
