,Brazil.act.s.,Brazil.cl,China.act.s.,China.cl,India.act.s.,India.cl,Japan.act.s.,Japan.cl,USA.act.s.,USA.cl,avg.sess.time,local.req,tot.act.s.,tot.cl,tot.cost,range
00:20:01,2,1116,6,653,4,698,2,1883,2,7286,1.36698960339697,100,16,11636,3.488,0
00:40:00,2,1199,6,615,4,699,2,1928,2,7289,1.37278918343056,100,16,11730,3.488,1
01:00:01,2,1128,6,648,4,702,2,1900,2,7712,1.38272384649529,100,16,12090,3.488,2
01:20:00,2,687,5,13109,4,431,2,1845,2,2257,1.34628502248536,100,15,18329,3.2544,3
01:40:00,2,690,5,12723,4,424,2,1805,2,2300,1.33910372227801,100,15,17942,3.2544,4
02:00:00,2,713,5,12826,4,409,2,1813,2,2202,1.32884833359268,100,15,17963,3.2544,5
02:20:00,2,230,5,12369,4,448,2,2315,2,1394,1.33432627707738,100,15,16756,3.2544,6
02:40:00,2,220,5,12835,4,420,2,2144,2,1358,1.33324728616042,100,15,16977,3.2544,7
03:00:01,2,221,5,12748,4,444,2,2320,2,1310,1.34515368394299,100,15,17043,3.2544,8
03:20:00,2,222,5,15352,4,425,2,3116,2,432,1.37415254666325,100,15,19547,3.2544,9
03:40:00,2,229,5,15205,4,412,2,3072,2,452,1.36117922154464,100,15,19370,3.2544,10
04:00:00,2,228,5,14207,4,454,2,3084,2,433,1.34548734257217,100,15,18406,3.2544,11
04:20:00,2,230,5,21186,4,8854,2,3193,2,441,1.40236531299252,100,15,33904,3.2544,12
04:40:00,14,226,5,20994,15,8996,13,3284,13,429,1.39122472313294,100,60,33929,13.0272,13
05:00:00,14,236,5,22935,15,9520,13,3482,13,441,1.40846751871424,100,60,36614,13.0272,14
05:20:00,15,181,5,23416,15,8743,14,3217,13,464,1.4167215472212,100,62,36021,13.5136,15
05:40:00,14,179,5,23172,15,8722,14,2961,13,447,1.41205116023795,100,61,35481,13.2448,16
06:00:00,14,191,5,22990,15,8803,13,3125,13,477,1.59469315491298,99,60,35586,13.0272,17
06:20:01,15,190,5,21477,15,10637,15,2814,13,365,1.38101058021849,99,63,35483,15.3664,18
06:40:00,14,186,5,22268,15,10224,13,2869,13,368,1.3952249579752,99,60,35915,13.0272,19
07:00:00,14,180,5,21519,15,10179,13,2915,13,368,1.39405381435644,99,60,35161,13.0272,20
07:20:01,14,178,5,20485,15,15074,13,3749,13,344,1.36210894408565,99,60,39830,13.0272,21
07:40:00,14,183,5,20063,15,14796,13,3814,13,376,1.35440872647595,99,60,39232,13.0272,22
08:00:01,14,183,5,20504,15,14483,13,3753,13,376,1.39209497719102,99,60,39299,13.0272,23
08:20:00,14,192,5,25297,15,15379,13,4394,13,352,1.4131332505238,99,60,45614,13.0272,24
08:40:00,14,186,5,26132,15,15241,13,4438,13,371,2.14731953628094,99,60,46368,13.0272,25
09:00:00,14,183,5,25786,15,15786,14,4420,13,378,1.42660431172083,99,61,46553,13.2448,26
09:20:00,14,122,5,31548,15,14435,14,3712,13,366,1.49906867718301,99,61,50183,13.2448,27
09:40:00,13,115,5,30950,15,14248,13,3875,12,358,2.74281927987387,99,58,49546,14.896,28
10:00:00,13,114,5,32458,15,14180,13,3737,12,352,10.0491476834986,98,58,50841,14.6464,29
10:20:00,14,111,5,27752,15,14280,14,3520,13,211,2.82193103530092,98,61,45874,13.2448,30
10:40:00,14,117,5,26150,15,13311,13,3500,13,215,1.4380412814371,98,60,43293,13.0272,31
11:00:00,15,117,5,25811,15,13982,13,3438,13,223,2.28278410266326,98,61,43571,13.296,32
11:20:00,14,115,5,25322,15,17233,14,2831,13,215,2.0419555122239,98,61,45716,13.2448,33
11:40:00,14,115,5,23775,15,17731,13,3006,13,230,1.40514406242187,98,60,44857,13.0272,34
12:00:01,14,121,5,23675,15,17665,14,2972,13,222,1.38948231088017,98,61,44655,13.2448,35
12:20:01,13,2322,5,20442,15,21781,14,941,13,234,1.3647379922526,98,60,45720,12.976,36
12:40:00,13,2488,5,20557,15,21439,14,947,13,235,1.36281876568707,98,60,45666,12.976,37
13:00:00,13,2277,5,21706,15,20559,14,903,13,223,1.37559834452052,98,60,45668,12.976,38
13:20:04,13,2380,5,6682,4,18089,14,528,2,4533,1.38817778064921,98,38,32212,8.8224,39
13:40:03,13,2332,5,6249,4,19312,14,547,2,4367,1.407253176185,98,38,32807,8.8224,40
14:00:00,13,2282,5,6314,4,19222,14,526,2,4550,1.43730670070897,98,38,32894,8.8224,41
14:20:04,13,2703,5,3933,4,16538,14,176,2,4461,1.38147445405597,98,38,27811,8.8224,42
14:40:01,13,2788,5,3804,4,16698,14,175,2,4643,1.38280721356702,98,38,28108,8.8224,43
15:00:04,13,2846,5,3927,4,15739,14,181,2,4474,1.37050270727916,98,38,27167,8.8224,44
15:20:01,13,3954,5,1206,4,13878,14,186,2,5496,1.38175023874712,98,38,24720,8.8224,45
15:40:02,13,4015,5,1260,4,13394,14,192,2,5377,1.37134168038875,98,38,24238,8.8224,46
16:00:04,13,3782,5,1315,4,14242,14,187,2,5011,1.36769795507217,98,38,24537,8.8224,47
16:20:09,13,4041,5,1276,4,4420,14,190,2,7830,1.34776792126276,98,38,17757,8.8224,48
16:40:02,13,4126,5,1339,4,4378,14,180,2,7717,1.34848233894045,98,38,17740,8.8224,49
17:00:06,2,3993,5,1272,4,4470,14,186,2,7819,1.34562281080346,98,27,17740,5.8656,50
17:20:03,2,4235,5,1253,4,2642,14,143,2,8137,1.37576577845596,98,27,16410,5.8656,51
17:40:05,2,4029,5,1338,4,2506,14,146,2,8294,1.37168955060835,99,27,16313,5.8656,52
18:00:02,2,4247,5,1232,4,2543,14,147,2,7941,1.3808037318746,99,27,16110,5.8656,53
18:20:03,2,3680,5,954,4,848,14,148,2,7676,1.37855099054432,99,27,13306,5.8656,54
18:40:02,2,3583,5,984,4,840,14,146,2,7410,1.36147524869969,99,27,12963,5.8656,55
19:00:02,2,3578,5,1038,4,844,14,138,2,7884,1.38355571578268,99,27,13482,5.8656,56
