,Brazil.act.s.,Brazil.cl,China.act.s.,China.cl,India.act.s.,India.cl,Japan.act.s.,Japan.cl,USA.act.s.,USA.cl,avg.sess.time,local.req,tot.act.s.,tot.cl,tot.cost,range
19:20:07,2,4573,5,992,4,847,14,148,2,7203,1.37012622256119,99,27,13763,5.8656,57
19:40:05,2,4413,5,1037,4,864,14,146,2,7243,1.36355231103294,99,27,13703,5.8656,58
20:00:02,2,4568,5,1014,4,835,14,145,2,6967,1.36036352810748,99,27,13529,5.8656,59
20:20:08,2,5343,5,1015,4,838,14,152,2,9093,1.43767738138151,99,27,16441,5.8656,60
20:40:01,2,5565,5,1002,4,815,14,153,2,8756,1.40430096187269,99,27,16291,5.8656,61
21:00:01,2,5674,5,990,4,811,14,146,2,9558,1.43391621529737,99,27,17179,5.8656,62
21:20:05,2,5020,5,1040,4,683,15,91,2,11262,1.50506804960577,99,28,18096,6.0832,63
21:40:02,2,5044,5,1056,4,705,13,91,2,10930,1.99068558249486,99,26,17826,5.648,64
22:00:12,2,4989,5,1072,4,714,14,92,2,10878,1.49321131890618,99,27,17745,5.8656,65
22:20:04,2,4449,5,655,4,695,14,88,2,9330,1.42028135847419,99,27,15217,5.8656,66
22:40:00,2,4534,5,631,4,693,14,96,2,9257,1.42668372575854,99,27,15211,5.8656,67
23:00:03,2,4355,5,619,4,662,14,94,2,9741,1.46292377392314,99,27,15471,5.8656,68
23:20:03,2,3686,5,620,4,661,14,92,2,8321,1.40097549821077,99,27,13380,5.8656,69
23:40:01,2,3774,5,630,4,716,14,92,2,8605,1.40735926689767,99,27,13817,5.8656,70
00:00:09,2,3709,5,665,4,690,14,94,2,8692,1.41169866383567,99,27,13850,5.8656,71
00:20:00,2,1098,5,660,4,677,13,1890,2,7115,1.36451972945098,99,26,11440,5.648,72
00:40:00,2,1168,5,621,4,683,13,1934,2,7453,1.37350804309022,99,26,11859,5.648,73
01:00:00,2,1113,5,631,4,690,13,1807,2,7181,1.36565410860994,99,26,11422,5.648,74
01:20:00,2,686,5,13713,4,439,13,1816,2,2210,1.34426794690554,99,26,18864,5.648,75
01:40:00,2,704,5,13320,4,436,13,1851,2,2201,1.33660794073092,99,26,18512,5.648,76
02:00:00,2,689,5,13608,4,405,13,1880,2,2159,1.34162704927093,99,26,18741,5.648,77
02:20:00,2,232,5,13240,4,431,13,2248,2,1387,1.34360485379155,99,26,17538,5.648,78
02:40:01,2,231,5,13583,4,424,13,2228,2,1337,1.34291155750215,99,26,17803,5.648,79
03:00:00,2,230,5,12983,4,411,13,2300,2,1347,1.33581289559557,99,26,17271,5.648,80
03:20:00,2,235,5,16057,4,434,13,3173,2,448,1.35980879643357,99,26,20347,5.648,81
03:40:01,2,225,5,14924,4,444,13,3217,2,461,1.35659155445919,99,26,19271,5.648,82
04:00:01,2,222,5,15686,4,412,13,3077,2,443,1.35545899841548,99,26,19840,5.648,83
04:20:00,2,235,5,21045,4,9156,13,3290,2,439,1.4004815489377,99,26,34165,5.648,84
04:40:01,2,231,5,21274,4,8878,13,3434,2,461,1.39796784755364,99,26,34278,5.648,85
05:00:00,2,222,5,22286,4,9228,13,3334,2,439,1.42251446561498,99,26,35509,5.648,86
05:20:00,2,188,5,23452,4,8397,13,3134,2,464,1.41920734838115,99,26,35635,5.648,87
05:40:00,2,181,5,23225,4,9049,13,3104,2,444,1.41788448556331,99,26,36003,5.648,88
06:00:00,2,181,5,22186,4,9006,13,3038,2,429,1.41737861576583,99,26,34840,5.648,89
06:20:01,2,180,5,21637,4,10107,13,3102,2,354,1.40297680382467,99,26,35380,5.648,90
06:40:00,2,172,5,21519,4,9646,13,2860,2,355,1.41845847991678,99,26,34552,5.648,91
07:00:00,2,186,5,21948,4,10393,13,2991,2,365,1.40220710930741,99,26,35883,5.648,92
07:20:00,2,175,5,21183,4,15056,13,3716,2,366,1.41908266266313,99,26,40496,5.648,93
07:40:00,2,191,5,20249,4,14689,13,3792,2,362,1.40285502523575,99,26,39283,5.648,94
08:00:00,2,186,5,20738,4,14613,13,3552,2,364,1.41582461941935,99,26,39453,5.648,95
08:20:00,2,186,5,26119,4,16553,13,4311,2,343,1.79839614086309,99,26,47512,5.648,96
08:40:00,2,173,5,24534,4,15816,13,4270,2,361,1.43959658664177,99,26,45154,5.648,97
09:00:00,2,181,5,25361,4,14842,13,4405,2,369,1.45024360681924,99,26,45158,5.648,98
09:20:00,2,112,5,32116,5,14762,13,3769,2,354,5.38055019990688,99,27,51113,8.6464,99
09:40:00,2,120,5,29782,4,15461,14,3853,2,365,5.17275123477386,99,27,49581,5.8656,100
10:00:00,2,114,5,30232,4,14777,14,3797,2,361,5.01847820689844,98,27,49281,5.8656,101
10:20:00,15,118,5,26328,4,14127,14,3536,15,224,1.4677295021866,98,53,44333,13.6992,102
10:40:00,2,118,5,27139,4,14524,13,3448,2,216,1.5879213390378,99,26,45445,5.648,103
11:00:00,15,114,5,26968,4,13994,15,3464,7,230,1.46973017539278,99,46,44770,11.2352,104
11:20:00,2,108,5,23708,4,16976,13,2956,2,216,1.45446685278692,99,26,43964,5.648,105
11:40:01,2,118,5,23774,4,17154,13,3102,2,223,1.45545100606701,99,26,44371,5.648,106
