,Brazil.act.s.,Brazil.cl,China.act.s.,China.cl,India.act.s.,India.cl,Japan.act.s.,Japan.cl,USA.act.s.,USA.cl,avg.sess.time,local.req,tot.act.s.,tot.cl,tot.cost,range
00:20:01,13,1116,6,653,4,698,13,1883,2,7286,1.3724255310772,100,38,11636,8.8384,0
00:40:00,13,1199,6,615,4,699,13,1928,2,7289,1.35112585766126,100,38,11730,8.8384,1
01:00:01,13,1128,6,648,4,702,13,1900,2,7712,1.38141542652451,100,38,12090,8.8384,2
01:20:00,13,687,5,13109,4,431,13,1845,2,2257,1.33817038807175,100,37,18329,8.6048,3
01:40:00,13,690,5,12723,4,424,13,1805,2,2300,1.34170849346077,100,37,17942,8.6048,4
02:00:00,13,713,5,12826,4,409,13,1813,2,2202,1.33060852212638,100,37,17963,8.6048,5
02:20:00,13,230,5,12369,4,448,13,2315,2,1394,1.32999179011405,100,37,16756,8.6048,6
02:40:00,13,220,5,12835,4,420,13,2144,2,1358,1.33369700913049,100,37,16977,8.6048,7
03:00:01,13,221,5,12748,4,444,13,2320,2,1310,1.33861540158479,100,37,17043,8.6048,8
03:20:00,13,222,5,15352,4,425,13,3116,2,432,1.35661606550254,100,37,19547,8.6048,9
03:40:00,13,229,5,15205,4,412,13,3072,2,452,1.35275816022329,100,37,19370,8.6048,10
04:00:00,13,228,5,14207,4,454,2,3084,2,433,1.3431037087469,100,26,18406,6.2112,11
04:20:00,14,230,5,21186,15,8854,2,3193,13,441,1.38856784713078,100,49,33904,10.9024,12
04:40:00,13,226,5,20994,15,8996,2,3284,13,429,1.39038642132922,100,48,33929,10.3648,13
05:00:00,13,236,5,22935,15,9520,2,3482,13,441,1.42667185956274,100,48,36614,10.3648,14
05:20:00,15,181,5,23416,15,8743,2,3217,13,464,1.41870740612287,100,50,36021,10.9024,15
05:40:00,13,179,5,23172,15,8722,2,2961,13,447,1.41016319030338,100,48,35481,10.3648,16
06:00:00,13,191,6,22990,15,8803,4,3125,14,477,2.31862068258364,99,52,35586,15.7632,17
06:20:01,15,190,5,21477,15,10637,15,2814,14,365,2.48575808040333,99,64,35483,15.7632,18
06:40:00,14,186,5,22268,15,10224,2,2869,13,368,1.38827947511744,99,49,35915,10.6336,19
07:00:00,14,180,5,21519,15,10179,2,2915,13,368,1.40023189586702,99,49,35161,10.6336,20
07:20:01,14,178,5,20485,15,15074,2,3749,13,344,1.36732594260085,99,49,39830,10.6336,21
07:40:00,13,183,5,20063,15,14796,2,3814,13,376,1.36948342103739,99,48,39232,10.3648,22
08:00:01,15,183,5,20504,15,14483,2,3753,13,376,1.39433296582204,99,50,39299,10.9024,23
08:20:00,14,192,5,25297,15,15379,2,4394,13,352,1.41812747242801,99,49,45614,10.6336,24
08:40:00,13,186,5,26132,15,15241,3,4438,13,371,4.06985917801778,99,49,46368,14.3584,25
09:00:00,15,183,5,25786,15,15786,2,4420,15,378,3.45792327673601,99,52,46553,11.2992,26
09:20:00,15,122,5,31548,15,14435,2,3712,15,366,1.49658868072975,99,52,50183,11.2992,27
09:40:00,13,115,5,30950,15,14248,4,3875,12,358,4.32448766329799,98,49,49546,13.8912,28
10:00:00,13,114,5,32458,15,14180,4,3737,12,352,12.2605352924687,97,49,50841,13.5136,29
10:20:00,13,111,5,27752,15,14280,2,3520,12,211,11.4903260668682,95,47,45874,13.4944,30
10:40:00,15,117,5,26150,15,13311,2,3500,15,215,2.74313698963694,96,52,43293,11.2992,31
11:00:00,13,117,5,25811,15,13982,6,3438,15,223,5.29738262282647,95,54,43571,14.3776,32
11:20:00,14,115,5,25322,15,17233,6,2831,12,215,5.13741891062274,95,52,45716,15.296,33
11:40:00,15,115,5,23775,15,17731,2,3006,15,230,4.0974460344511,95,52,44857,11.2992,34
12:00:01,15,121,5,23675,15,17665,2,2972,15,222,1.38836183507892,95,52,44655,11.2992,35
12:20:01,13,2322,5,20442,15,21781,2,941,15,234,1.36096590827429,95,50,45720,10.7616,36
12:40:00,13,2488,5,20557,15,21439,2,947,15,235,1.36280404002492,96,50,45666,10.7616,37
13:00:00,13,2277,5,21706,15,20559,2,903,15,223,1.38267693966875,96,50,45668,10.7616,38
13:20:04,13,2380,5,6682,4,18089,2,528,2,4533,1.39193759821899,96,26,32212,6.2112,39
13:40:03,13,2332,5,6249,4,19312,2,547,2,4367,1.42063072127518,96,26,32807,6.2112,40
14:00:00,13,2282,5,6314,4,19222,2,526,2,4550,1.4348700397214,96,26,32894,6.2112,41
14:20:04,13,2703,5,3933,4,16538,2,176,2,4461,1.39059297926663,96,26,27811,6.2112,42
14:40:01,13,2788,5,3804,4,16698,2,175,2,4643,1.38250860205804,96,26,28108,6.2112,43
15:00:04,13,2846,5,3927,4,15739,2,181,2,4474,1.37153426604268,96,26,27167,6.2112,44
15:20:01,13,3954,5,1206,4,13878,2,186,2,5496,1.37668039327413,96,26,24720,6.2112,45
15:40:02,13,4015,5,1260,4,13394,2,192,2,5377,1.37079710839974,96,26,24238,6.2112,46
16:00:04,13,3782,5,1315,4,14242,2,187,2,5011,1.37192027458145,96,26,24537,6.2112,47
16:20:09,13,4041,5,1276,4,4420,2,190,2,7830,1.35246273114852,96,26,17757,6.2112,48
16:40:02,13,4126,5,1339,4,4378,2,180,2,7717,1.34817378096754,96,26,17740,6.2112,49
17:00:06,2,3993,5,1272,4,4470,2,186,2,7819,1.35902493717599,96,15,17740,3.2544,50
17:20:03,2,4235,5,1253,4,2642,2,143,2,8137,1.36931796670936,96,15,16410,3.2544,51
17:40:05,2,4029,5,1338,4,2506,2,146,2,8294,1.37443297723666,96,15,16313,3.2544,52
18:00:02,2,4247,5,1232,4,2543,2,147,2,7941,1.38781551277953,96,15,16110,3.2544,53
18:20:03,2,3680,5,954,4,848,2,148,2,7676,1.38036089189177,96,15,13306,3.2544,54
18:40:02,2,3583,5,984,4,840,2,146,2,7410,1.36094199376152,97,15,12963,3.2544,55
19:00:02,2,3578,5,1038,4,844,2,138,2,7884,1.37941693017829,97,15,13482,3.2544,56
19:20:07,2,4573,5,992,4,847,2,148,2,7203,1.38091474863604,97,15,13763,3.2544,57
19:40:05,2,4413,5,1037,4,864,2,146,2,7243,1.36239210632836,97,15,13703,3.2544,58
20:00:02,2,4568,5,1014,4,835,2,145,2,6967,1.36262664258747,97,15,13529,3.2544,59
20:20:08,2,5343,5,1015,4,838,2,152,2,9093,1.73035375342576,97,15,16441,3.2544,60
20:40:01,2,5565,5,1002,4,815,2,153,2,8756,1.41299665791866,97,15,16291,3.2544,61
21:00:01,2,5674,5,990,4,811,2,146,2,9558,1.42684172352503,97,15,17179,3.2544,62
21:20:05,2,5020,5,1040,4,683,15,91,2,11262,1.510570004919,97,28,18096,6.0832,63
21:40:02,2,5044,5,1056,4,705,6,91,2,10930,6.81251321108185,97,19,17826,4.7776,64
22:00:12,2,4989,5,1072,4,714,5,92,2,10878,12.1164755066097,96,18,17745,5.4304,65
22:20:04,2,4449,5,655,4,695,12,88,2,9330,12.8440890383727,96,25,15217,6.6208,66
22:40:00,12,4534,5,631,4,693,11,96,2,9257,12.7488919840893,96,34,15211,9.04,67
23:00:03,2,4355,5,619,4,662,2,94,2,9741,12.9873794045881,95,15,15471,4.3424,68
23:20:03,2,3686,5,620,4,661,2,92,2,8321,2.91981617863135,95,15,13380,3.2544,69
23:40:01,2,3774,5,630,4,716,2,92,2,8605,1.41193182046284,95,15,13817,3.2544,70
00:00:09,2,3709,5,665,4,690,2,94,2,8692,1.41460965911061,96,15,13850,3.2544,71
00:20:00,2,1098,5,660,4,677,2,1890,2,7115,1.37850370306316,96,15,11440,3.2544,72
00:40:00,2,1168,5,621,4,683,2,1934,2,7453,1.35400180838507,96,15,11859,3.2544,73
01:00:00,2,1113,5,631,4,690,2,1807,2,7181,1.36782014472495,96,15,11422,3.2544,74
01:20:00,2,686,5,13713,4,439,2,1816,2,2210,1.34700487655298,96,15,18864,3.2544,75
01:40:00,2,704,5,13320,4,436,2,1851,2,2201,1.3302593466691,96,15,18512,3.2544,76
02:00:00,2,689,5,13608,4,405,2,1880,2,2159,1.33651198562141,96,15,18741,3.2544,77
02:20:00,2,232,5,13240,4,431,2,2248,2,1387,1.34944462594748,96,15,17538,3.2544,78
02:40:01,2,231,5,13583,4,424,2,2228,2,1337,1.34542562643038,96,15,17803,3.2544,79
03:00:00,2,230,5,12983,4,411,2,2300,2,1347,1.34033877381757,96,15,17271,3.2544,80
03:20:00,2,235,5,16057,4,434,2,3173,2,448,1.38002459582115,96,15,20347,3.2544,81
03:40:01,2,225,5,14924,4,444,2,3217,2,461,1.36841941484292,96,15,19271,3.2544,82
04:00:01,2,222,5,15686,4,412,2,3077,2,443,1.36551180434556,96,15,19840,3.2544,83
04:20:00,2,235,5,21045,4,9156,2,3290,2,439,1.40130789131715,96,15,34165,3.2544,84
04:40:01,2,231,5,21274,4,8878,2,3434,2,461,1.4078973746434,96,15,34278,3.2544,85
05:00:00,2,222,5,22286,4,9228,2,3334,2,439,1.42836231578702,96,15,35509,3.2544,86
05:20:00,2,188,5,23452,4,8397,2,3134,2,464,1.43512318884929,96,15,35635,3.2544,87
